성별,교육,나이대,결혼,상반기지불율,월별사용한도
Female,Graduate School,20,Married,28.1907874015748,165196.8503937008
Female,Graduate School,20,Others,18.7325,102500.0
Female,Graduate School,20,Single,27.36440118284864,144923.60768851652
Female,Graduate School,30,Married,39.519419924337974,239583.85876418665
Female,Graduate School,30,Others,48.815,206666.66666666666
Female,Graduate School,30,Single,37.36448751076659,238458.225667528
Female,Graduate School,40,Married,38.56629870129871,251082.25108225108
Female,Graduate School,40,Others,36.580000000000005,135000.0
Female,Graduate School,40,Single,33.44303191489361,245319.1489361702
Female,Graduate School,50,Married,42.75762295081967,245000.0
Female,Graduate School,50,Others,56.185,185000.0
Female,Graduate School,50,Single,37.27372093023255,199302.32558139536
Female,Graduate School,60,Married,47.335,278571.4285714286
Female,Graduate School,60,Single,2.6,135000.0
Female,Graduate School,70,Single,2.43,50000.0
Female,High School,20,Married,16.883646408839777,95414.36464088398
Female,High School,20,Others,16.0825,73750.0
Female,High School,20,Single,22.001856287425145,104131.7365269461
Female,High School,30,Married,23.250577777777796,136666.66666666666
Female,High School,30,Others,32.26285714285714,117142.85714285714
Female,High School,30,Single,28.614377880184325,174746.54377880183
Female,High School,40,Married,24.875629139072878,129006.6225165563
Female,High School,40,Others,24.658157894736842,83421.05263157895
Female,High School,40,Single,23.110380952380954,130380.95238095238
Female,High School,50,Married,21.643827160493824,110648.14814814815
Female,High School,50,Others,19.27578947368421,83684.21052631579
Female,High School,50,Single,19.271300813008146,100894.30894308943
Female,High School,60,Married,18.74705882352941,120588.23529411765
Female,High School,60,Others,15.563333333333333,56666.666666666664
Female,High School,60,Single,12.49,82142.85714285714
Female,High School,70,Married,23.662857142857142,171428.57142857142
Female,High School,70,Single,55.31,200000.0
Female,Others,20,Married,17.047499999999996,160000.0
Female,Others,20,Single,29.527142857142866,171428.57142857142
Female,Others,30,Married,49.364000000000004,214000.0
Female,Others,30,Others,67.81,320000.0
Female,Others,30,Single,41.694545454545455,274545.45454545453
Female,Others,40,Married,45.574,276000.0
Female,Others,40,Single,45.345000000000006,200000.0
Female,Others,50,Married,49.49333333333334,273333.3333333333
Female,University,20,Married,16.97877308707123,113852.24274406332
Female,University,20,Others,35.053999999999995,98666.66666666667
Female,University,20,Single,18.422695895522352,116100.74626865672
Female,University,30,Married,23.713273150844486,169237.04135119394
Female,University,30,Others,22.41758620689655,99655.1724137931
Female,University,30,Single,23.499218455743883,187919.02071563088
Female,University,40,Married,26.7677628032345,165908.35579514824
Female,University,40,Others,17.882222222222218,98888.88888888889
Female,University,40,Single,25.498251366120204,163879.78142076504
Female,University,50,Married,23.462068965517243,160034.4827586207
Female,University,50,Others,22.27611111111111,88888.88888888889
Female,University,50,Single,23.584,132200.0
Female,University,60,Married,23.19148148148148,171851.85185185185
Female,University,60,Others,6.28,60000.0
Female,University,60,Single,56.97,106666.66666666667
Female,University,70,Married,18.49,250000.0
Female,Unknown,20,Married,9.2985,134000.0
Female,Unknown,20,Single,22.381315789473682,126052.63157894737
Female,Unknown,30,Married,26.607631578947366,198421.05263157896
Female,Unknown,30,Others,12.040000000000001,150000.0
Female,Unknown,30,Single,31.54692307692307,157692.3076923077
Female,Unknown,40,Married,26.202,180333.33333333334
Female,Unknown,40,Others,6.74,145000.0
Female,Unknown,40,Single,17.00058823529412,175882.35294117648
Female,Unknown,50,Married,7.783571428571429,193571.42857142858
Female,Unknown,50,Single,27.438333333333333,261666.66666666666
Female,Unknown,60,Married,7.5249999999999995,235000.0
Male,Graduate School,20,Married,26.48658536585366,158292.68292682926
Male,Graduate School,20,Others,48.69,93333.33333333333
Male,Graduate School,20,Single,27.61174134419549,138472.50509164968
Male,Graduate School,30,Married,33.90036290322584,248750.0
Male,Graduate School,30,Others,25.505,262500.0
Male,Graduate School,30,Single,30.57553623188406,224231.884057971
Male,Graduate School,40,Married,37.27440147329652,259852.67034990792
Male,Graduate School,40,Others,14.34909090909091,121818.18181818182
Male,Graduate School,40,Single,27.517586206896553,218965.5172413793
Male,Graduate School,50,Married,31.203250000000004,267200.0
Male,Graduate School,50,Others,5.942499999999999,153750.0
Male,Graduate School,50,Single,20.891777777777783,170000.0
Male,Graduate School,60,Married,30.2471052631579,272105.2631578947
Male,Graduate School,60,Others,98.14,240000.0
Male,Graduate School,60,Single,29.900000000000002,182500.0
Male,Graduate School,70,Married,3.412,328000.0
Male,High School,20,Married,13.122391304347829,102391.30434782608
Male,High School,20,Others,33.093333333333334,70000.0
Male,High School,20,Single,15.723120805369124,68993.28859060403
Male,High School,30,Married,21.702055335968375,145731.2252964427
Male,High School,30,Others,29.066666666666666,70000.0
Male,High School,30,Single,19.763858267716525,125551.1811023622
Male,High School,40,Married,18.658422459893053,127620.32085561498
Male,High School,40,Others,24.281,69500.0
Male,High School,40,Single,17.0132972972973,96906.37837837837
Male,High School,50,Married,19.354579831932764,128319.32773109243
Male,High School,50,Others,6.169999999999999,74000.0
Male,High School,50,Single,15.863888888888884,87638.88888888889
Male,High School,60,Married,12.925142857142857,168285.7142857143
Male,High School,60,Others,8.24,70000.0
Male,High School,60,Single,15.725,129000.0
Male,High School,70,Married,4.965,65000.0
Male,Others,20,Married,8.09,170000.0
Male,Others,20,Others,61.55,150000.0
Male,Others,20,Single,24.456666666666663,161333.33333333334
Male,Others,30,Married,18.275,200000.0
Male,Others,30,Single,40.006,224000.0
Male,Others,40,Married,21.43,194285.7142857143
Male,Others,50,Married,45.26333333333333,293333.3333333333
Male,University,20,Married,15.761956521739132,108913.04347826086
Male,University,20,Others,24.209999999999997,91666.66666666667
Male,University,20,Single,16.561929190751425,89342.48554913295
Male,University,30,Married,21.18417314095447,161320.75471698114
Male,University,30,Others,19.889999999999993,110476.19047619047
Male,University,30,Single,18.67721584984359,137591.24087591242
Male,University,40,Married,21.439919246298796,156473.75504710633
Male,University,40,Others,13.338148148148148,57407.40740740741
Male,University,40,Single,14.49778481012658,107531.64556962025
Male,University,50,Married,19.76685185185184,146592.59259259258
Male,University,50,Others,11.55222222222222,43333.333333333336
Male,University,50,Single,17.2269512195122,88658.53658536586
Male,University,60,Married,31.816363636363636,136363.63636363635
Male,University,60,Single,11.245384615384616,192307.6923076923
Male,University,70,Married,5.456666666666667,176666.66666666666
Male,Unknown,20,Married,28.306,116000.0
Male,Unknown,20,Single,14.451363636363636,95454.54545454546
Male,Unknown,30,Married,22.026666666666664,236190.47619047618
Male,Unknown,30,Single,12.597333333333335,122666.66666666667
Male,Unknown,40,Married,22.533333333333335,166000.0
Male,Unknown,40,Others,4.8,100000.0
Male,Unknown,40,Single,18.266666666666666,178000.0
Male,Unknown,50,Married,16.377499999999998,196250.0
Male,Unknown,50,Single,4.25,60000.0
Male,Unknown,60,Married,3.46,200000.0
